
> admin_web@0.1.0 dev
> next dev

▲ Next.js 16.2.11 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://169.254.0.21:3000
- Environments: .env
✓ Ready in 675ms
⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /home/user/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /home/user/admin_web/package-lock.json


 GET /api/public/healing-quotes 200 in 52ms (next.js: 31ms, application-code: 21ms)
 GET /api/public/notifications?userId=48&limit=50 200 in 50ms (next.js: 39ms, application-code: 11ms)
 GET /api/public/attendance/status?userId=48 200 in 32ms (next.js: 26ms, application-code: 6ms)
 GET /api/public/page-configs/home 200 in 55ms (next.js: 34ms, application-code: 21ms)
 GET /api/public/wishes/my 401 in 45ms (next.js: 38ms, application-code: 7ms)
 GET /api/public/pass/policies 200 in 54ms (next.js: 46ms, application-code: 8ms)
 GET /api/public/wallet?userId=48 200 in 63ms (next.js: 57ms, application-code: 6ms)
 GET /api/public/wallet?userId=48 200 in 8ms (next.js: 2ms, application-code: 5ms)
 GET /api/public/wallet?userId=48 200 in 9ms (next.js: 3ms, application-code: 6ms)
 GET /api/public/wishes/my 401 in 9ms (next.js: 3ms, application-code: 6ms)
 GET / 307 in 122ms (next.js: 5ms, application-code: 116ms)
 GET /api/public/healing-quotes 200 in 26ms (next.js: 10ms, application-code: 16ms)
 GET /api/public/attendance/status?userId=1 200 in 46ms (next.js: 31ms, application-code: 15ms)
 GET /api/public/intro-config 200 in 45ms (next.js: 29ms, application-code: 15ms)
 GET /api/public/wallet?userId=1 200 in 45ms (next.js: 28ms, application-code: 16ms)
 GET /api/public/page-configs/home 200 in 47ms (next.js: 29ms, application-code: 19ms)
 GET /api/public/notifications?userId=1&limit=50 200 in 39ms (next.js: 32ms, application-code: 7ms)
 GET /api/public/pass/policies 200 in 28ms (next.js: 17ms, application-code: 11ms)
 GET /api/public/wishes/my 401 in 10ms (next.js: 3ms, application-code: 7ms)
 GET /api/public/attendance/status?userId=1 200 in 16ms (next.js: 5ms, application-code: 11ms)
 GET /api/public/wallet?userId=1 200 in 19ms (next.js: 6ms, application-code: 13ms)
 GET /api/public/pass/policies 200 in 16ms (next.js: 4ms, application-code: 12ms)
 GET /api/public/pass/status?userId=1 200 in 24ms (next.js: 17ms, application-code: 7ms)
 GET /api/public/wallet?userId=1 200 in 20ms (next.js: 5ms, application-code: 15ms)
 GET /api/public/pass/status?userId=1 200 in 18ms (next.js: 5ms, application-code: 13ms)
 GET /api/public/wallet?userId=1 200 in 22ms (next.js: 6ms, application-code: 16ms)
 GET /api/public/wallet?userId=1 200 in 19ms (next.js: 5ms, application-code: 14ms)
 GET /api/public/wallet?userId=1 200 in 23ms (next.js: 5ms, application-code: 19ms)
 OPTIONS /api/public/wishes/my 200 in 15ms (next.js: 5ms, application-code: 9ms)
 GET /api/public/wishes/my 200 in 17ms (next.js: 3ms, application-code: 14ms)
 GET /api/public/wallet?userId=48 200 in 13ms (next.js: 7ms, application-code: 7ms)
 GET /api/public/pass/policies 200 in 27ms (next.js: 20ms, application-code: 7ms)
 OPTIONS /api/public/wishes/my 200 in 33ms (next.js: 28ms, application-code: 5ms)
 GET /api/public/attendance/status?userId=48 200 in 44ms (next.js: 36ms, application-code: 9ms)
 GET /api/public/notifications?userId=48&limit=50 200 in 29ms (next.js: 22ms, application-code: 7ms)
 GET /api/public/page-configs/home 200 in 32ms (next.js: 22ms, application-code: 10ms)
 GET /api/public/wallet?userId=48 200 in 30ms (next.js: 21ms, application-code: 9ms)
 GET /api/public/pass/policies 200 in 40ms (next.js: 31ms, application-code: 8ms)
 OPTIONS /api/public/wishes/my 200 in 45ms (next.js: 41ms, application-code: 3ms)
 GET /api/public/healing-quotes 200 in 40ms (next.js: 35ms, application-code: 5ms)
 GET /api/public/wishes/my 200 in 48ms (next.js: 30ms, application-code: 18ms)
 GET /api/public/attendance/status?userId=48 200 in 12ms (next.js: 8ms, application-code: 4ms)
 GET /api/public/wallet?userId=48 200 in 8ms (next.js: 3ms, application-code: 5ms)
 GET /api/public/wishes/my 200 in 11ms (next.js: 1852µs, application-code: 10ms)
 GET /api/public/wallet?userId=48 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /api/public/pass/status?userId=48 200 in 23ms (next.js: 16ms, application-code: 8ms)
 GET /api/public/wallet?userId=48 200 in 14ms (next.js: 7ms, application-code: 7ms)
 OPTIONS /api/public/wishes/pending-openings 200 in 153ms (next.js: 148ms, application-code: 5ms)
 GET /api/public/pass/status?userId=48 200 in 152ms (next.js: 147ms, application-code: 5ms)
 GET /api/public/wallet?userId=48 200 in 9ms (next.js: 3ms, application-code: 5ms)
 GET /api/public/wishes/pending-openings 200 in 23ms (next.js: 9ms, application-code: 14ms)
